Country/Region,Date,Cases
Brunei,2020-01-22,0
Iraq,2020-01-22,0
Iceland,2020-01-22,0
Spain,2020-01-22,0
Slovenia,2020-01-22,0
Guyana,2020-01-22,0
Georgia,2020-01-22,0
Canada,2020-01-22,0
Panama,2020-01-22,0
Germany,2020-01-22,0
South Sudan,2020-01-22,0
Ghana,2020-01-22,0
Cameroon,2020-01-22,0
Greece,2020-01-22,0
Burundi,2020-01-22,0
Tunisia,2020-01-22,0
Grenada,2020-01-22,0
Cambodia,2020-01-22,0
Guatemala,2020-01-22,0
Guinea,2020-01-22,0
Cabo Verde,2020-01-22,0
Somalia,2020-01-22,0
Guinea-Bissau,2020-01-22,0
Turkey,2020-01-22,0
South Africa,2020-01-22,0
Nigeria,2020-01-22,0
Japan,2020-01-22,2
Papua New Guinea,2020-01-22,0
Albania,2020-01-22,0
Oman,2020-01-22,0
North Macedonia,2020-01-22,0
Algeria,2020-01-22,0
Western Sahara,2020-01-22,0
Pakistan,2020-01-22,0
Norway,2020-01-22,0
Kyrgyzstan,2020-01-23,0
Germany,2020-01-23,0
Canada,2020-01-23,0
United Arab Emirates,2020-01-23,0
Kosovo,2020-01-23,0
Singapore,2020-01-23,1
Denmark,2020-01-23,0
Namibia,2020-01-23,0
Albania,2020-01-23,0
Zambia,2020-01-23,0
India,2020-01-23,0
Azerbaijan,2020-01-23,0
Chile,2020-01-23,0
Fiji,2020-01-23,0
Bhutan,2020-01-23,0
Cote d'Ivoire,2020-01-23,0
Bulgaria,2020-01-23,0
Romania,2020-01-23,0
Indonesia,2020-01-23,0
Mauritania,2020-01-23,0
Mozambique,2020-01-23,0
Poland,2020-01-23,0
"Korea, South",2020-01-23,1
Congo (Brazzaville),2020-01-23,0
Saudi Arabia,2020-01-23,0
Argentina,2020-01-23,0
Venezuela,2020-01-23,0
Belarus,2020-01-23,0
US,2020-01-23,1
Iceland,2020-01-23,0
Holy See,2020-01-23,0
Honduras,2020-01-23,0
Sao Tome and Principe,2020-01-23,0
Netherlands,2020-01-23,0
Sudan,2020-01-23,0
Uruguay,2020-01-23,0
Czechia,2020-01-23,0
Ecuador,2020-01-23,0
Ethiopia,2020-01-23,0
Ghana,2020-01-23,0
South Sudan,2020-01-23,0
Switzerland,2020-01-23,0
West Bank and Gaza,2020-01-23,0
Benin,2020-01-23,0
Mali,2020-01-23,0
Oman,2020-01-23,0
Hungary,2020-01-23,0
Congo (Kinshasa),2020-01-23,0
Nepal,2020-01-23,0
Burma,2020-01-23,0
North Macedonia,2020-01-23,0
Philippines,2020-01-23,0
Malta,2020-01-23,0
Burkina Faso,2020-01-23,0
Russia,2020-01-23,0
Georgia,2020-01-23,0
Antigua and Barbuda,2020-01-23,0
Kuwait,2020-01-23,0
Slovakia,2020-01-23,0
Barbados,2020-01-23,0
Bangladesh,2020-01-23,0
Togo,2020-01-23,0
Jordan,2020-01-23,0
Papua New Guinea,2020-01-23,0
Israel,2020-01-23,0
Ukraine,2020-01-23,0
Mongolia,2020-01-23,0
Central African Republic,2020-01-23,0
Dominica,2020-01-23,0
Bosnia and Herzegovina,2020-01-23,0
Algeria,2020-01-23,0
Syria,2020-01-23,0
Portugal,2020-01-23,0
Italy,2020-01-23,0
Panama,2020-01-23,0
Djibouti,2020-01-23,0
Sri Lanka,2020-01-23,0
Qatar,2020-01-23,0
Madagascar,2020-01-23,0
Western Sahara,2020-01-23,0
Botswana,2020-01-23,0
Moldova,2020-01-23,0
Japan,2020-01-23,2
Monaco,2020-01-23,0
France,2020-01-23,0
Australia,2020-01-23,0
Saint Lucia,2020-01-23,0
Gabon,2020-01-23,0
Serbia,2020-01-23,0
Colombia,2020-01-23,0
Costa Rica,2020-01-23,0
Libya,2020-01-23,0
Seychelles,2020-01-23,0
Mexico,2020-01-23,0
Trinidad and Tobago,2020-01-23,0
Iran,2020-01-23,0
Sweden,2020-01-23,0
Diamond Princess,2020-01-23,0
Eritrea,2020-01-23,0
Dominican Republic,2020-01-23,0
Brunei,2020-01-23,0
Finland,2020-01-23,0
Norway,2020-01-23,0
Thailand,2020-01-23,3
Kenya,2020-01-23,0
Morocco,2020-01-23,0
Gambia,2020-01-23,0
Mauritius,2020-01-23,0
Iraq,2020-01-23,0
Sierra Leone,2020-01-23,0
Timor-Leste,2020-01-23,0
Uganda,2020-01-23,0
Pakistan,2020-01-23,0
Spain,2020-01-23,0
Liechtenstein,2020-01-23,0
Vietnam,2020-01-23,2
Kazakhstan,2020-01-23,0
Ireland,2020-01-23,0
Senegal,2020-01-23,0
Montenegro,2020-01-23,0
Lithuania,2020-01-23,0
Armenia,2020-01-23,0
Chad,2020-01-23,0
Austria,2020-01-23,0
Brazil,2020-01-23,0
Bolivia,2020-01-23,0
Bahamas,2020-01-23,0
Taiwan*,2020-01-23,1
Jamaica,2020-01-23,0
Luxembourg,2020-01-23,0
Cabo Verde,2020-01-23,0
Belgium,2020-01-23,0
Malaysia,2020-01-23,0
Cyprus,2020-01-23,0
Burundi,2020-01-23,0
Cuba,2020-01-23,0
El Salvador,2020-01-23,0
Afghanistan,2020-01-23,0
Tanzania,2020-01-23,0
Croatia,2020-01-23,0
Belize,2020-01-23,0
Rwanda,2020-01-23,0
Guinea,2020-01-23,0
Saint Vincent and the Grenadines,2020-01-23,0
Bahrain,2020-01-23,0
Slovenia,2020-01-23,0
Peru,2020-01-23,0
Zimbabwe,2020-01-23,0
Maldives,2020-01-23,0
Uzbekistan,2020-01-23,0
Turkey,2020-01-23,0
Malawi,2020-01-23,0
Egypt,2020-01-23,0
Guinea-Bissau,2020-01-23,0
Equatorial Guinea,2020-01-23,0
Lebanon,2020-01-23,0
Guyana,2020-01-23,0
South Africa,2020-01-23,0
Somalia,2020-01-23,0
Andorra,2020-01-23,0
United Kingdom,2020-01-23,0
Niger,2020-01-23,0
Tunisia,2020-01-23,0
Saint Kitts and Nevis,2020-01-23,0
Latvia,2020-01-23,0
Grenada,2020-01-23,0
Nicaragua,2020-01-23,0
San Marino,2020-01-23,0
Haiti,2020-01-23,0
China,2020-01-23,643
Estonia,2020-01-23,0
Suriname,2020-01-23,0
Cambodia,2020-01-23,0
Nigeria,2020-01-23,0
Laos,2020-01-23,0
Liberia,2020-01-23,0
New Zealand,2020-01-23,0
MS Zaandam,2020-01-23,0
Angola,2020-01-23,0
Paraguay,2020-01-23,0
Cameroon,2020-01-23,0
Greece,2020-01-23,0
Guatemala,2020-01-23,0
Eswatini,2020-01-23,0
Iraq,2020-01-24,0
Australia,2020-01-24,0
Morocco,2020-01-24,0
Mauritius,2020-01-24,0
France,2020-01-24,2
Andorra,2020-01-24,0
Sri Lanka,2020-01-24,0
Cambodia,2020-01-24,0
Niger,2020-01-24,0
Moldova,2020-01-24,0
Uganda,2020-01-24,0
Bolivia,2020-01-24,0
Timor-Leste,2020-01-24,0
Uzbekistan,2020-01-24,0
North Macedonia,2020-01-24,0
Lithuania,2020-01-24,0
Pakistan,2020-01-24,0
Somalia,2020-01-24,0
Kenya,2020-01-24,0
Finland,2020-01-24,0
Gambia,2020-01-24,0
Bangladesh,2020-01-24,0
Venezuela,2020-01-24,0
Bahamas,2020-01-24,0
Sierra Leone,2020-01-24,0
Costa Rica,2020-01-24,0
China,2020-01-24,920
Zambia,2020-01-24,0
Malawi,2020-01-24,0
Iran,2020-01-24,0
Thailand,2020-01-24,5
Dominican Republic,2020-01-24,0
Guatemala,2020-01-24,0
Sweden,2020-01-24,0
Serbia,2020-01-24,0
Diamond Princess,2020-01-24,0
Suriname,2020-01-24,0
Brunei,2020-01-24,0
Lebanon,2020-01-24,0
Grenada,2020-01-24,0
South Africa,2020-01-24,0
Guinea-Bissau,2020-01-24,0
Vietnam,2020-01-24,2
Spain,2020-01-24,0
Monaco,2020-01-24,0
Jordan,2020-01-24,0
Seychelles,2020-01-24,0
Afghanistan,2020-01-24,0
Nigeria,2020-01-24,0
Tanzania,2020-01-24,0
Israel,2020-01-24,0
Qatar,2020-01-24,0
Djibouti,2020-01-24,0
Ukraine,2020-01-24,0
Colombia,2020-01-24,0
Mexico,2020-01-24,0
Mongolia,2020-01-24,0
Bahrain,2020-01-24,0
Guinea,2020-01-24,0
Panama,2020-01-24,0
Syria,2020-01-24,0
Saint Vincent and the Grenadines,2020-01-24,0
Portugal,2020-01-24,0
Italy,2020-01-24,0
Bosnia and Herzegovina,2020-01-24,0
Paraguay,2020-01-24,0
Central African Republic,2020-01-24,0
Dominica,2020-01-24,0
Estonia,2020-01-24,0
Liberia,2020-01-24,0
El Salvador,2020-01-24,0
Papua New Guinea,2020-01-24,0
Kazakhstan,2020-01-24,0
Luxembourg,2020-01-24,0
Japan,2020-01-24,2
Liechtenstein,2020-01-24,0
Belgium,2020-01-24,0
Ireland,2020-01-24,0
Gabon,2020-01-24,0
Senegal,2020-01-24,0
Montenegro,2020-01-24,0
Cuba,2020-01-24,0
Saint Lucia,2020-01-24,0
Chad,2020-01-24,0
Algeria,2020-01-24,0
Madagascar,2020-01-24,0
Armenia,2020-01-24,0
Austria,2020-01-24,0
Malaysia,2020-01-24,0
Brazil,2020-01-24,0
Libya,2020-01-24,0
Western Sahara,2020-01-24,0
Botswana,2020-01-24,0
Cabo Verde,2020-01-24,0
Trinidad and Tobago,2020-01-24,0
Cameroon,2020-01-24,0
Netherlands,2020-01-24,0
Iceland,2020-01-24,0
Ecuador,2020-01-24,0
US,2020-01-24,2
Czechia,2020-01-24,0
New Zealand,2020-01-24,0
Uruguay,2020-01-24,0
Belarus,2020-01-24,0
Maldives,2020-01-24,0
Norway,2020-01-24,0
MS Zaandam,2020-01-24,0
Taiwan*,2020-01-24,3
Jamaica,2020-01-24,0
Honduras,2020-01-24,0
Barbados,2020-01-24,0
Peru,2020-01-24,0
United Arab Emirates,2020-01-24,0
Hungary,2020-01-24,0
Sudan,2020-01-24,0
Kosovo,2020-01-24,0
Laos,2020-01-24,0
Namibia,2020-01-24,0
San Marino,2020-01-24,0
Greece,2020-01-24,0
Burundi,2020-01-24,0
Germany,2020-01-24,0
Benin,2020-01-24,0
Slovenia,2020-01-24,0
Congo (Kinshasa),2020-01-24,0
South Sudan,2020-01-24,0
Nepal,2020-01-24,0
Haiti,2020-01-24,0
West Bank and Gaza,2020-01-24,0
Switzerland,2020-01-24,0
Belize,2020-01-24,0
Kuwait,2020-01-24,0
Ghana,2020-01-24,0
Philippines,2020-01-24,0
Croatia,2020-01-24,0
Malta,2020-01-24,0
Burkina Faso,2020-01-24,0
Equatorial Guinea,2020-01-24,0
Rwanda,2020-01-24,0
Ethiopia,2020-01-24,0
Antigua and Barbuda,2020-01-24,0
Eswatini,2020-01-24,0
Sao Tome and Principe,2020-01-24,0
Georgia,2020-01-24,0
Singapore,2020-01-24,3
Oman,2020-01-24,0
Denmark,2020-01-24,0
Canada,2020-01-24,0
Romania,2020-01-24,0
Nicaragua,2020-01-24,0
Guyana,2020-01-24,0
Fiji,2020-01-24,0
Indonesia,2020-01-24,0
Zimbabwe,2020-01-24,0
Mauritania,2020-01-24,0
Mozambique,2020-01-24,0
Congo (Brazzaville),2020-01-24,0
Togo,2020-01-24,0
Holy See,2020-01-24,0
"Korea, South",2020-01-24,2
Egypt,2020-01-24,0
Poland,2020-01-24,0
Turkey,2020-01-24,0
Cyprus,2020-01-24,0
Argentina,2020-01-24,0
Saudi Arabia,2020-01-24,0
Burma,2020-01-24,0
Bulgaria,2020-01-24,0
Russia,2020-01-24,0
Cote d'Ivoire,2020-01-24,0
Latvia,2020-01-24,0
Azerbaijan,2020-01-24,0
Slovakia,2020-01-24,0
Kyrgyzstan,2020-01-24,0
Albania,2020-01-24,0
India,2020-01-24,0
Chile,2020-01-24,0
United Kingdom,2020-01-24,0
Saint Kitts and Nevis,2020-01-24,0
Bhutan,2020-01-24,0
Tunisia,2020-01-24,0
Angola,2020-01-24,0
Eritrea,2020-01-24,0
Mali,2020-01-24,0
Liberia,2020-01-25,0
Sudan,2020-01-25,0
Bosnia and Herzegovina,2020-01-25,0
Switzerland,2020-01-25,0
Saint Lucia,2020-01-25,0
France,2020-01-25,3
Sri Lanka,2020-01-25,0
Ecuador,2020-01-25,0
Jamaica,2020-01-25,0
Bahamas,2020-01-25,0
Kyrgyzstan,2020-01-25,0
Russia,2020-01-25,0
Rwanda,2020-01-25,0
Japan,2020-01-25,2
Laos,2020-01-25,0
Qatar,2020-01-25,0
Suriname,2020-01-25,0
Moldova,2020-01-25,0
Mali,2020-01-25,0
Bahrain,2020-01-25,0
Togo,2020-01-25,0
Eswatini,2020-01-25,0
Saudi Arabia,2020-01-25,0
Jordan,2020-01-25,0
Benin,2020-01-25,0
Chile,2020-01-25,0
Kazakhstan,2020-01-25,0
Azerbaijan,2020-01-25,0
Bolivia,2020-01-25,0
Latvia,2020-01-25,0
Mauritius,2020-01-25,0
Bhutan,2020-01-25,0
Uzbekistan,2020-01-25,0
Malawi,2020-01-25,0
Kosovo,2020-01-25,0
United Kingdom,2020-01-25,0
Kenya,2020-01-25,0
Finland,2020-01-25,0
Lebanon,2020-01-25,0
Fiji,2020-01-25,0
Mauritania,2020-01-25,0
"Korea, South",2020-01-25,2
Dominican Republic,2020-01-25,0
China,2020-01-25,1406
Egypt,2020-01-25,0
Romania,2020-01-25,0
Belgium,2020-01-25,0
United Arab Emirates,2020-01-25,0
Eritrea,2020-01-25,0
Belarus,2020-01-25,0
Congo (Kinshasa),2020-01-25,0
Kuwait,2020-01-25,0
Saint Vincent and the Grenadines,2020-01-25,0
Belize,2020-01-25,0
Dominica,2020-01-25,0
Estonia,2020-01-25,0
Ukraine,2020-01-25,0
San Marino,2020-01-25,0
Mexico,2020-01-25,0
Malta,2020-01-25,0
Sao Tome and Principe,2020-01-25,0
Western Sahara,2020-01-25,0
Maldives,2020-01-25,0
Austria,2020-01-25,0
Malaysia,2020-01-25,3
Congo (Brazzaville),2020-01-25,0
Ethiopia,2020-01-25,0
Senegal,2020-01-25,0
Chad,2020-01-25,0
Liechtenstein,2020-01-25,0
Libya,2020-01-25,0
Venezuela,2020-01-25,0
Norway,2020-01-25,0
Morocco,2020-01-25,0
Mozambique,2020-01-25,0
Slovenia,2020-01-25,0
Bangladesh,2020-01-25,0
Poland,2020-01-25,0
Turkey,2020-01-25,0
Burundi,2020-01-25,0
Argentina,2020-01-25,0
Georgia,2020-01-25,0
Peru,2020-01-25,0
Sierra Leone,2020-01-25,0
Croatia,2020-01-25,0
Iran,2020-01-25,0
Nicaragua,2020-01-25,0
Brunei,2020-01-25,0
Sweden,2020-01-25,0
Gambia,2020-01-25,0
Diamond Princess,2020-01-25,0
Guinea-Bissau,2020-01-25,0
Ireland,2020-01-25,0
Spain,2020-01-25,0
Vietnam,2020-01-25,2
Afghanistan,2020-01-25,0
Lithuania,2020-01-25,0
Indonesia,2020-01-25,0
Cyprus,2020-01-25,0
Saint Kitts and Nevis,2020-01-25,0
Iraq,2020-01-25,0
Guyana,2020-01-25,0
Tunisia,2020-01-25,0
Ghana,2020-01-25,0
Thailand,2020-01-25,7
Uganda,2020-01-25,0
Montenegro,2020-01-25,0
Haiti,2020-01-25,0
Albania,2020-01-25,0
West Bank and Gaza,2020-01-25,0
South Sudan,2020-01-25,0
Honduras,2020-01-25,0
Netherlands,2020-01-25,0
Hungary,2020-01-25,0
Oman,2020-01-25,0
Equatorial Guinea,2020-01-25,0
Slovakia,2020-01-25,0
Nepal,2020-01-25,1
Burkina Faso,2020-01-25,0
Philippines,2020-01-25,0
Uruguay,2020-01-25,0
Antigua and Barbuda,2020-01-25,0
Burma,2020-01-25,0
Germany,2020-01-25,0
Iceland,2020-01-25,0
US,2020-01-25,2
New Zealand,2020-01-25,0
Cote d'Ivoire,2020-01-25,0
Bulgaria,2020-01-25,0
Greece,2020-01-25,0
India,2020-01-25,0
Angola,2020-01-25,0
Canada,2020-01-25,0
Denmark,2020-01-25,0
Singapore,2020-01-25,3
Cameroon,2020-01-25,0
Holy See,2020-01-25,0
Barbados,2020-01-25,0
Taiwan*,2020-01-25,3
MS Zaandam,2020-01-25,0
Namibia,2020-01-25,0
Zimbabwe,2020-01-25,0
Czechia,2020-01-25,0
Somalia,2020-01-25,0
North Macedonia,2020-01-25,0
Seychelles,2020-01-25,0
Costa Rica,2020-01-25,0
Zambia,2020-01-25,0
Djibouti,2020-01-25,0
Monaco,2020-01-25,0
Israel,2020-01-25,0
El Salvador,2020-01-25,0
Gabon,2020-01-25,0
Mongolia,2020-01-25,0
Nigeria,2020-01-25,0
Guinea,2020-01-25,0
Papua New Guinea,2020-01-25,0
Syria,2020-01-25,0
Portugal,2020-01-25,0
Algeria,2020-01-25,0
Botswana,2020-01-25,0
Central African Republic,2020-01-25,0
Timor-Leste,2020-01-25,0
Tanzania,2020-01-25,0
Paraguay,2020-01-25,0
Australia,2020-01-25,0
Colombia,2020-01-25,0
Cuba,2020-01-25,0
Italy,2020-01-25,0
Serbia,2020-01-25,0
Niger,2020-01-25,0
Luxembourg,2020-01-25,0
Guatemala,2020-01-25,0
Madagascar,2020-01-25,0
Grenada,2020-01-25,0
Panama,2020-01-25,0
Andorra,2020-01-25,0
Armenia,2020-01-25,0
Cambodia,2020-01-25,0
South Africa,2020-01-25,0
Cabo Verde,2020-01-25,0
Trinidad and Tobago,2020-01-25,0
Pakistan,2020-01-25,0
Brazil,2020-01-25,0
Bahrain,2020-01-26,0
Cameroon,2020-01-26,0
Angola,2020-01-26,0
Honduras,2020-01-26,0
Bahamas,2020-01-26,0
Guatemala,2020-01-26,0
Holy See,2020-01-26,0
Togo,2020-01-26,0
Suriname,2020-01-26,0
Cambodia,2020-01-26,0
Kyrgyzstan,2020-01-26,0
El Salvador,2020-01-26,0
Mali,2020-01-26,0
Oman,2020-01-26,0
Belarus,2020-01-26,0
Uruguay,2020-01-26,0
Western Sahara,2020-01-26,0
Eritrea,2020-01-26,0
Liberia,2020-01-26,0
Burma,2020-01-26,0
Tanzania,2020-01-26,0
MS Zaandam,2020-01-26,0
Nigeria,2020-01-26,0
Slovakia,2020-01-26,0
Netherlands,2020-01-26,0
Sudan,2020-01-26,0
Russia,2020-01-26,0
South Africa,2020-01-26,0
Greece,2020-01-26,0
Cuba,2020-01-26,0
Malaysia,2020-01-26,4
Nicaragua,2020-01-26,0
Burundi,2020-01-26,0
Latvia,2020-01-26,0
Grenada,2020-01-26,0
Guyana,2020-01-26,0
Niger,2020-01-26,0
Belgium,2020-01-26,0
Tunisia,2020-01-26,0
Cyprus,2020-01-26,0
Egypt,2020-01-26,0
United Kingdom,2020-01-26,0
Uzbekistan,2020-01-26,0
Saint Kitts and Nevis,2020-01-26,0
Andorra,2020-01-26,0
Guinea-Bissau,2020-01-26,0
China,2020-01-26,2075
Lebanon,2020-01-26,0
Croatia,2020-01-26,0
Somalia,2020-01-26,0
Cabo Verde,2020-01-26,0
Estonia,2020-01-26,0
Laos,2020-01-26,0
Rwanda,2020-01-26,0
Norway,2020-01-26,0
Ecuador,2020-01-26,0
Eswatini,2020-01-26,0
Paraguay,2020-01-26,0
New Zealand,2020-01-26,0
Haiti,2020-01-26,0
Zimbabwe,2020-01-26,0
Belize,2020-01-26,0
Guinea,2020-01-26,0
Slovenia,2020-01-26,0
Afghanistan,2020-01-26,0
Turkey,2020-01-26,0
Saint Vincent and the Grenadines,2020-01-26,0
San Marino,2020-01-26,0
Libya,2020-01-26,0
Maldives,2020-01-26,0
Peru,2020-01-26,0
Malawi,2020-01-26,0
Madagascar,2020-01-26,0
Taiwan*,2020-01-26,4
Ghana,2020-01-26,0
Jordan,2020-01-26,0
Liechtenstein,2020-01-26,0
Venezuela,2020-01-26,0
Trinidad and Tobago,2020-01-26,0
Colombia,2020-01-26,0
Brazil,2020-01-26,0
Armenia,2020-01-26,0
Austria,2020-01-26,0
Senegal,2020-01-26,0
Ireland,2020-01-26,0
Chad,2020-01-26,0
Montenegro,2020-01-26,0
Spain,2020-01-26,0
Algeria,2020-01-26,0
Kazakhstan,2020-01-26,0
Vietnam,2020-01-26,2
Bolivia,2020-01-26,0
Uganda,2020-01-26,0
Sweden,2020-01-26,0
Iraq,2020-01-26,0
Finland,2020-01-26,0
Mauritius,2020-01-26,0
Thailand,2020-01-26,8
Diamond Princess,2020-01-26,0
North Macedonia,2020-01-26,0
Seychelles,2020-01-26,0
Czechia,2020-01-26,0
Mexico,2020-01-26,0
Saint Lucia,2020-01-26,0
Zambia,2020-01-26,0
Jamaica,2020-01-26,0
Papua New Guinea,2020-01-26,0
Serbia,2020-01-26,0
France,2020-01-26,3
Australia,2020-01-26,4
Moldova,2020-01-26,0
Costa Rica,2020-01-26,0
Luxembourg,2020-01-26,0
Japan,2020-01-26,4
Gabon,2020-01-26,0
Botswana,2020-01-26,0
Italy,2020-01-26,0
Qatar,2020-01-26,0
Timor-Leste,2020-01-26,0
Central African Republic,2020-01-26,0
Bosnia and Herzegovina,2020-01-26,0
Portugal,2020-01-26,0
Panama,2020-01-26,0
Syria,2020-01-26,0
Pakistan,2020-01-26,0
Dominica,2020-01-26,0
Mongolia,2020-01-26,0
Israel,2020-01-26,0
Ukraine,2020-01-26,0
Sri Lanka,2020-01-26,0
Morocco,2020-01-26,0
Kenya,2020-01-26,0
Brunei,2020-01-26,0
Singapore,2020-01-26,4
Chile,2020-01-26,0
Kosovo,2020-01-26,0
Barbados,2020-01-26,0
United Arab Emirates,2020-01-26,0
Iceland,2020-01-26,0
Djibouti,2020-01-26,0
US,2020-01-26,5
Ethiopia,2020-01-26,0
Sao Tome and Principe,2020-01-26,0
Germany,2020-01-26,0
Antigua and Barbuda,2020-01-26,0
Malta,2020-01-26,0
Philippines,2020-01-26,0
Kuwait,2020-01-26,0
Congo (Brazzaville),2020-01-26,0
Congo (Kinshasa),2020-01-26,0
Nepal,2020-01-26,1
Burkina Faso,2020-01-26,0
Equatorial Guinea,2020-01-26,0
Benin,2020-01-26,0
Hungary,2020-01-26,0
South Sudan,2020-01-26,0
Switzerland,2020-01-26,0
West Bank and Gaza,2020-01-26,0
Gambia,2020-01-26,0
Azerbaijan,2020-01-26,0
Namibia,2020-01-26,0
Denmark,2020-01-26,0
Iran,2020-01-26,0
Dominican Republic,2020-01-26,0
Sierra Leone,2020-01-26,0
Saudi Arabia,2020-01-26,0
Argentina,2020-01-26,0
Georgia,2020-01-26,0
Poland,2020-01-26,0
Fiji,2020-01-26,0
Bangladesh,2020-01-26,0
"Korea, South",2020-01-26,3
Indonesia,2020-01-26,0
Mauritania,2020-01-26,0
Mozambique,2020-01-26,0
Lithuania,2020-01-26,0
Albania,2020-01-26,0
Monaco,2020-01-26,0
Romania,2020-01-26,0
Bhutan,2020-01-26,0
India,2020-01-26,0
Cote d'Ivoire,2020-01-26,0
Bulgaria,2020-01-26,0
Canada,2020-01-26,1
Libya,2020-01-27,0
Equatorial Guinea,2020-01-27,0
Saint Lucia,2020-01-27,0
Liechtenstein,2020-01-27,0
Uruguay,2020-01-27,0
Barbados,2020-01-27,0
Belarus,2020-01-27,0
Colombia,2020-01-27,0
Lithuania,2020-01-27,0
Eritrea,2020-01-27,0
Belgium,2020-01-27,0
Liberia,2020-01-27,0
Germany,2020-01-27,1
US,2020-01-27,5
Iceland,2020-01-27,0
South Sudan,2020-01-27,0
Singapore,2020-01-27,5
India,2020-01-27,0
Bulgaria,2020-01-27,0
